,name,Website,street address,city,state,zipcode,Type,Size,private,funding,Associates (y=1/n=0)
543,Concordia Theological Seminary,www.ctsfw.edu,6600 N Clinton St,Fort Wayne,Indiana,46825-4996,"4-year, Private not-for-profit",382.0,Private,not-for-profit,0
544,Concordia University,www.cune.edu,800 N Columbia Ave,Seward,Nebraska,68434-1556,"4-year, Private not-for-profit",1344.0,Private,not-for-profit,0
545,Concordia University,www.cu-portland.edu,2811 NE Holman Street,Portland,Oregon,97211-6099,"4-year, Private not-for-profit",1709.0,Private,not-for-profit,0
546,Concordia University,www.cuchicago.edu,7400 Augusta,River Forest,Illinois,60305-1499,"4-year, Private not-for-profit",4185.0,Private,not-for-profit,0
547,Concordia University,www.cui.edu,1530 Concordia West,Irvine,California,92612-3299,"4-year, Private not-for-profit",2543.0,Private,not-for-profit,0
548,Concordia University Texas,www.concordia.edu,11400 Concordia University Dr.,Austin,Texas,78726,"4-year, Private not-for-profit",2260.0,Private,not-for-profit,0
549,Concordia University-Ann Arbor,www.cuaa.edu,4090 Geddes Rd,Ann Arbor,Michigan,48105,"4-year, Private not-for-profit",896.0,Private,not-for-profit,0
550,Concordia University-Saint Paul,www.csp.edu,275 Syndicate Street North,Saint Paul,Minnesota,55104-5494,"4-year, Private not-for-profit",2644.0,Private,not-for-profit,0
551,Concordia University-Wisconsin,www.cuw.edu,12800 N Lake Shore Dr,Mequon,Wisconsin,53097-2402,"4-year, Private not-for-profit",6549.0,Private,not-for-profit,0
552,Connecticut College,www.connecticutcollege.edu,270 Mohegan Ave,New London,Connecticut,06320,"4-year, Private not-for-profit",1852.0,Private,not-for-profit,0
553,Converse College,www.converse.edu,580 E Main St,Spartanburg,Carolina,29302-0006,"4-year, Private not-for-profit",2068.0,Private,not-for-profit,0
554,Conway School of Landscape Design,www.csld.edu,332 South Deerfield Rd,Conway,Massachusetts,01341-0179,"4-year, Private not-for-profit",19.0,Private,not-for-profit,0
555,Cooper Health System Center for Allied Health Education,www.cooperhealth.org,1 Cooper Plz,Camden,Jersey,08103,"4-year, Private not-for-profit",45.0,Private,not-for-profit,0
556,Cooper Union for the Advancement of Science and Art,www.cooper.edu,7 East 7th Street,New York,York,10003-7120,"4-year, Private not-for-profit",972.0,Private,not-for-profit,0
557,Coppin State University,www.coppin.edu,2500 West North Avenue,Baltimore,Maryland,21216-3698,"4-year, Public",4051.0,Public,not-for-profit,0
558,Corban College,www.corban.edu,5000 Deer Park Dr SE,Salem,Oregon,97317-9392,"4-year, Private not-for-profit",1031.0,Private,not-for-profit,0
559,Corcoran College of Art and Design,www.corcoran.edu,500 Seventeenth St NW,Washington,Columbia,20006-4804,"4-year, Private not-for-profit",942.0,Private,not-for-profit,0
560,Cornell College,www.cornellcollege.edu,600 First St. SW,Mount Vernon,Iowa,52314-1098,"4-year, Private not-for-profit",1112.0,Private,not-for-profit,0
561,Cornell University,www.cornell.edu,,Ithaca,York,14853,"4-year, Private not-for-profit",20273.0,Private,not-for-profit,0
562,Cornerstone University,www.cornerstone.edu,1001 E Beltline Ave NE,Grand Rapids,Michigan,49525-5897,"4-year, Private not-for-profit",2440.0,Private,not-for-profit,0
563,Cornish College of the Arts,www.cornish.edu,1000 Lenora Street,Seattle,Washington,98121,"4-year, Private not-for-profit",815.0,Private,not-for-profit,0
564,Covenant College,www.covenant.edu,14049 Scenic Highway,Lookout Mountain,Georgia,30750-4164,"4-year, Private not-for-profit",1343.0,Private,not-for-profit,0
565,Covenant Theological Seminary,www.covenantseminary.edu,12330 Conway Road,Saint Louis,Missouri,63141-8697,"4-year, Private not-for-profit",823.0,Private,not-for-profit,0
566,Cox College,www.coxcollege.edu,1423 N Jefferson,Springfield,Missouri,65802,"4-year, Private not-for-profit",427.0,Private,not-for-profit,0
567,Cranbrook Academy of Art,www.cranbrook.edu,39221  Woodward Avenue,Bloomfield Hills,Michigan,48304,"4-year, Private not-for-profit",151.0,Private,not-for-profit,0
568,Creighton University,www.creighton.edu,2500 California Plaza,Omaha,Nebraska,68178,"4-year, Private not-for-profit",7051.0,Private,not-for-profit,0
569,Crichton College,www.crichton.edu,255 N Highland,Memphis,Tennessee,38111-1375,"4-year, Private not-for-profit",1016.0,Private,not-for-profit,0
570,Crossroads Bible College,www.crossroads.edu,601 N Shortridge Rd,Indianapolis,Indiana,46219-4912,"4-year, Private not-for-profit",158.0,Private,not-for-profit,0
571,Crossroads College,www.crossroadscollege.edu,920 Mayowood Road SW,Rochester,Minnesota,55902-2382,"4-year, Private not-for-profit",161.0,Private,not-for-profit,0
572,Crowley's Ridge College,www.crowleysridgecollege.edu,100 College Dr,Paragould,Arkansas,72450,"4-year, primarily associate's, Private not-for-profit",175.0,Private,0,1
573,Crown College,www.crown.edu,8700 College View Drive,Saint Bonifacius,Minnesota,55375-9001,"4-year, Private not-for-profit",1229.0,Private,not-for-profit,0
574,Culinary Institute of America,www.ciachef.edu,1946 Campus Drive,Hyde Park,York,12538-1499,"4-year, primarily associate's, Private not-for-profit",2812.0,Private,0,1
575,Culver-Stockton College,www.culver.edu,1 College Hill,Canton,Missouri,63435-1299,"4-year, Private not-for-profit",810.0,Private,not-for-profit,0
576,Cumberland University,www.cumberland.edu,One Cumberland Square,Lebanon,Tennessee,37087,"4-year, Private not-for-profit",1351.0,Private,not-for-profit,0
577,CUNY Bernard M Baruch College,www.baruch.cuny.edu,One Bernard Baruch Way (55 Lexington at 24th St),New York,York,10010,"4-year, Public",16321.0,Public,not-for-profit,0
578,CUNY Brooklyn College,www.brooklyn.cuny.edu,2900 Bedford Ave,Brooklyn,York,11210-2889,"4-year, Public",16689.0,Public,not-for-profit,0
579,CUNY City College,www.ccny.cuny.edu,160 Convent Ave,New York,York,10031-9101,"4-year, Public",15306.0,Public,not-for-profit,0
580,CUNY College of Staten Island,www.csi.cuny.edu,2800 Victory Blvd,Staten Island,York,10314,"4-year, Public",13092.0,Public,not-for-profit,0
581,CUNY Graduate School and University Center,www.gc.cuny.edu,365 Fifth Ave,New York,York,10016-4309,"4-year, Public",5944.0,Public,not-for-profit,0
582,CUNY Hunter College,www.hunter.cuny.edu,695 Park Ave,New York,York,10065,"4-year, Public",21258.0,Public,not-for-profit,0
583,CUNY John Jay College Criminal Justice,www.jjay.cuny.edu,899 Tenth Ave,New York,York,10019,"4-year, Public",14844.0,Public,not-for-profit,0
584,CUNY Lehman College,www.lehman.edu,Bedford Park Blvd W,Bronx,York,10468,"4-year, Public",11860.0,Public,not-for-profit,0
585,CUNY Medgar Evers College,www.mec.cuny.edu/default_int.asp,1650 Bedford Ave,Brooklyn,York,11225-2010,"4-year, primarily associate's, Public",6036.0,Public,not-for-profit,1
586,CUNY New York City College of Technology,www.citytech.cuny.edu,300 Jay St,Brooklyn,York,11201-2983,"4-year, primarily associate's, Public",14268.0,Public,not-for-profit,1
587,CUNY Queens College,www.qc.edu,65-30 Kissena Blvd,Flushing,York,11367-0904,"4-year, Public",19572.0,Public,not-for-profit,0
588,CUNY School of Law at Queens College,www.law.cuny.edu,65-21 Main St,Flushing,York,11367,"4-year, Public",388.0,Public,not-for-profit,0
589,CUNY York College,www.york.cuny.edu,94-20 Guy R Brewer Blvd,Jamaica,York,11451,"4-year, Public",7157.0,Public,not-for-profit,0
590,Curry College,www.curry.edu,1071 Blue Hill Ave,Milton,Massachusetts,02186-2395,"4-year, Private not-for-profit",3097.0,Private,not-for-profit,0
591,Daemen College,www.daemen.edu,4380 Main St,Amherst,York,14226-3592,"4-year, Private not-for-profit",2716.0,Private,not-for-profit,0
592,Dakota State University,www.dsu.edu,820 N Washington,Madison,Dakota,57042-1799,"4-year, Public",2675.0,Public,not-for-profit,0
593,Dakota Wesleyan University,www.dwu.edu,1200 W University Ave,Mitchell,Dakota,57301-4398,"4-year, Private not-for-profit",730.0,Private,not-for-profit,0
594,Dallas Baptist University,www.dbu.edu,3000 Mountain Creek Parkway,Dallas,Texas,75211-9299,"4-year, Private not-for-profit",5297.0,Private,not-for-profit,0
595,Dallas Christian College,www.dallas.edu,2700 Christian Pkwy,Dallas,Texas,75234-7299,"4-year, Private not-for-profit",315.0,Private,not-for-profit,0
596,Dallas Theological Seminary,WWW.DTS.EDU,3909 Swiss Ave,Dallas,Texas,75204,"4-year, Private not-for-profit",2024.0,Private,not-for-profit,0
597,Dalton State College,www.daltonstate.edu,650 College Drive,Dalton,Georgia,30720-3797,"4-year, primarily associate's, Public",4957.0,Public,not-for-profit,1
598,Dana College,www.dana.edu,2848 College Dr,Blair,Nebraska,68008,"4-year, Private not-for-profit",546.0,Private,not-for-profit,0
